Date,Open,High,Low,Close,Adj Close,Volume
2015-09-15,14.625600,15.038800,14.575500,14.932400,12.062758,17358050
2015-09-16,15.032600,15.495900,15.032600,15.489600,12.512877,21170407
2015-09-17,15.339300,15.821400,15.214100,15.445800,12.477492,21460938
2015-09-18,15.245400,15.314300,14.481600,14.606800,11.799725,30438000
2015-09-21,14.550500,14.707000,14.037100,14.156000,11.435561,20630713
2015-09-22,13.968200,14.350100,13.705200,14.212400,11.481125,22801787
2015-09-23,14.181100,14.375200,13.730300,13.730300,11.091667,19396397
2015-09-24,13.317000,14.012000,13.054100,13.893100,11.223181,25416084
2015-09-25,14.068400,14.168500,13.467300,13.573700,10.965167,15828731
2015-09-28,13.379700,13.448500,13.066600,13.235700,10.692118,19042138
2015-09-29,13.254400,13.529900,13.123000,13.154300,10.626364,20209531
2015-09-30,13.617600,13.636400,13.085400,13.411000,10.833728,27167733
2015-10-01,13.461100,13.680200,13.348400,13.592500,10.980349,16265565
2015-10-02,13.479800,14.093400,13.373400,14.093400,11.400906,20666011
2015-10-05,14.393900,14.838500,14.237400,14.506600,11.735168,19748899
2015-10-06,14.450300,14.713300,14.362600,14.644400,11.846641,17011458
2015-10-07,14.963700,15.502100,14.763300,15.170300,12.272069,26913299
2015-10-08,14.982500,15.308000,14.926100,15.182800,12.282182,20512520
2015-10-09,15.408200,15.452000,14.775900,15.020000,12.150484,20181421
2015-10-13,14.681900,14.681900,13.924400,14.199900,11.487061,30905501
2015-10-14,14.105900,14.393900,13.961900,14.124700,11.426227,38480860
2015-10-15,14.156000,14.243700,13.780400,14.074600,11.385699,15628921
2015-10-16,14.049600,14.068400,13.680200,13.805400,11.167929,21835800
2015-10-19,13.855500,14.037100,13.749100,13.786600,11.152719,22837404
2015-10-20,13.868000,13.924400,13.379700,13.461100,10.889402,21425320
2015-10-21,13.461100,13.623800,13.304500,13.479800,10.904531,15364265
2015-10-22,13.573700,13.843000,13.529900,13.680200,11.066645,16626692
2015-10-23,14.012000,14.055900,13.461100,13.492400,10.914727,16178039
2015-10-26,13.586300,13.711500,13.185600,13.392200,10.833665,17816287
2015-10-27,13.398400,13.486100,13.248200,13.448500,10.879211,19517624
2015-10-28,13.993200,14.068400,13.918100,14.037100,11.355361,2704698
2015-10-29,13.461100,13.817900,13.173000,13.173000,10.656349,23494333
2015-10-30,13.292000,13.367100,13.054100,13.148000,10.636121,22117866
2015-11-03,13.273200,13.868000,13.110400,13.843000,11.198345,27105762
2015-11-04,14.093400,14.118500,13.442300,13.555000,10.980420,27063276
2015-11-05,13.605100,13.924400,13.486100,13.924400,11.279651,18444146
2015-11-06,13.843000,13.855500,13.555000,13.724000,11.117315,22744607
2015-11-09,13.655200,13.717800,13.367100,13.417200,10.868790,24020770
2015-11-10,13.398400,13.404700,12.991500,13.348400,10.813057,17973451
2015-11-11,13.479800,13.736500,13.373400,13.673900,11.076733,18191150
2015-11-12,13.542400,13.755300,13.204400,13.667700,11.071711,18926820
2015-11-13,13.473600,13.623800,13.317000,13.467300,10.909372,21749232
2015-11-16,13.486100,13.580000,13.310800,13.580000,11.000667,26458257
2015-11-17,13.642600,14.300000,13.642600,14.087100,11.411453,26167087
2015-11-18,14.087100,14.444000,14.005800,14.199900,11.502827,18352147
2015-11-19,14.400200,14.650600,14.287500,14.650600,11.867922,20148199
2015-11-23,14.838500,14.926100,14.337600,14.506600,11.751275,24781037
2015-11-24,14.337600,14.487900,14.055900,14.406500,11.670186,17228996
2015-11-25,14.143500,14.199900,13.680200,13.705200,11.102089,27568790
2015-11-26,13.730300,14.093400,13.711500,14.005800,11.345596,17562811
2015-11-27,13.886800,13.905600,13.436000,13.492400,10.929709,22284933
2015-11-30,13.335800,13.473600,13.054100,13.223100,10.711555,52778356
2015-12-01,13.223100,13.379700,13.035300,13.148000,10.650721,22420535
2015-12-02,13.191800,13.385900,12.897600,13.129200,10.650867,25934375
2015-12-03,13.711500,14.174800,13.586300,13.705200,11.118134,34983152
2015-12-04,13.673900,13.673900,13.304500,13.517400,10.965782,20855120
2015-12-07,13.648900,13.874300,13.348400,13.379700,10.854079,13498576
2015-12-08,13.385900,13.461100,13.029000,13.085400,10.615332,24632817
2015-12-09,13.292000,13.849200,13.273200,13.742800,11.148635,38835599
2015-12-10,13.642600,13.799200,13.148000,13.148000,10.666114,25410973
2015-12-11,12.997800,13.354600,12.972700,13.035300,10.574688,26720198
2015-12-14,12.985200,12.991500,12.728500,12.803700,10.386806,21517319
2015-12-15,12.897600,13.198100,12.878800,13.004000,10.549297,14389175
2015-12-16,12.835000,13.229400,12.590800,13.116700,10.640721,41731482
2015-12-17,13.054100,13.129200,12.778600,12.860000,11.150358,29198733
2015-12-18,12.434300,12.672200,12.183800,12.302800,10.667233,36094963
2015-12-21,12.421700,12.484400,11.914600,11.945900,10.357780,20267669
2015-12-22,12.033600,12.259000,11.958400,12.052300,10.450040,14345731
2015-12-23,12.240200,12.246400,11.996000,12.146300,10.531541,10931556
2015-12-28,12.208900,12.309000,12.064900,12.265200,10.634634,9826294
2015-12-29,12.384200,12.396700,12.233900,12.327800,10.688911,8782524
2015-12-30,12.359100,12.359100,12.021000,12.071100,10.466339,13506562
2016-01-04,11.908300,12.071100,11.758100,11.895800,10.314342,17128852
2016-01-05,11.971000,12.077400,11.776900,11.927100,10.358004,12680490
2016-01-06,11.751800,11.895800,11.557700,11.758100,10.211239,23527395
2016-01-07,11.507600,11.708000,11.482600,11.520200,10.004636,32834439
2016-01-08,11.657900,11.695500,11.269700,11.294800,9.808886,19678303
2016-01-11,11.338600,11.470100,10.944100,10.975500,9.531594,17734350
2016-01-12,11.113200,11.138200,10.850200,10.912900,9.477232,18231080
2016-01-13,11.081900,11.113200,10.656100,10.756300,9.341230,19717913
2016-01-14,10.831500,11.081900,10.656100,11.081900,9.623996,20249142
2016-01-15,10.887800,10.887800,10.599800,10.800100,9.379270,25859626
2016-01-18,10.806400,10.894100,10.706200,10.706200,9.297720,14828245
2016-01-19,10.956700,10.969200,10.687500,10.781400,9.363031,15068464
2016-01-20,10.656100,10.844000,10.599800,10.806400,9.384740,25809474
2016-01-21,10.737500,10.912900,10.599800,10.649900,9.248824,23948417
2016-01-22,10.743800,10.881500,10.656100,10.869000,9.439104,21191170
2016-01-26,10.725000,10.856500,10.656100,10.743800,9.330376,18065131
2016-01-27,10.731300,11.013000,10.706200,10.875300,9.444580,32277336
2016-01-28,11.013000,11.013000,10.781400,10.894100,9.460902,21618901
2016-01-29,10.950400,11.363600,10.869000,11.363600,9.868638,34247482
2016-02-01,11.282200,11.664200,11.150800,11.657900,10.124223,21702274
2016-02-02,11.326100,11.520200,11.125700,11.175800,9.721365,40041964
2016-02-03,11.770600,11.952200,11.495100,11.714200,10.189698,79661308
2016-02-04,11.877000,12.691000,11.632900,12.352900,10.745275,51767328
2016-02-05,12.352900,12.540700,12.152500,12.227600,10.636282,25854356
2016-02-10,12.033600,12.396700,12.033600,12.365400,10.756150,12608457
2016-02-11,12.127500,12.246400,11.914600,12.046100,10.478396,15992444
2016-02-12,12.196300,12.196300,11.883300,12.083600,10.511026,15426876
2016-02-15,12.240200,12.365400,12.058600,12.083600,10.511026,8465639
2016-02-16,12.115000,12.615800,12.027300,12.515600,10.886805,20269586
2016-02-17,12.603300,12.972700,12.346600,12.653400,11.006668,32113463
2016-02-18,12.578300,12.578300,12.259000,12.396700,10.783375,20421160
2016-02-19,12.271500,12.559500,12.208900,12.446800,10.826955,17957000
2016-02-22,12.766100,13.198100,12.728500,13.097900,11.393319,28475041
2016-02-23,12.891300,13.267000,12.853700,12.972700,11.284414,18690754
2016-02-24,12.803700,12.960200,12.540700,12.947700,11.262668,15359314
2016-02-25,12.828700,13.179300,12.728500,12.910100,11.229965,16881446
2016-02-26,13.173000,13.210600,12.784900,12.947700,11.262668,13696629
2016-02-29,13.141800,13.423500,13.004000,13.360900,11.622088,33046867
2016-03-01,13.442300,13.830500,13.429800,13.736500,11.948809,25745746
